[2025-08-09T08:12:55.178Z] CLEANUP: 🧹 HANDMATIGE CLEANUP GESTART
[2025-08-09T08:12:55.483Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754118340832.json (02/08/2025)
[2025-08-09T08:12:55.485Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754114740842.json (02/08/2025)
[2025-08-09T08:12:55.486Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754111140779.json (02/08/2025)
[2025-08-09T08:12:55.488Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754107540809.json (02/08/2025)
[2025-08-09T08:12:55.490Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754103940926.json (02/08/2025)
[2025-08-09T08:12:55.492Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754100341037.json (02/08/2025)
[2025-08-09T08:12:55.494Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754096740759.json (02/08/2025)
[2025-08-09T08:12:55.495Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754093141866.json (02/08/2025)
[2025-08-09T08:12:55.497Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754089540801.json (02/08/2025)
[2025-08-09T08:12:55.499Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754085940624.json (02/08/2025)
[2025-08-09T08:12:55.501Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754082340714.json (01/08/2025)
[2025-08-09T08:12:55.503Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754078740774.json (01/08/2025)
[2025-08-09T08:12:55.504Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754075140660.json (01/08/2025)
[2025-08-09T08:12:55.506Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754071540730.json (01/08/2025)
[2025-08-09T08:12:55.508Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754067940907.json (01/08/2025)
[2025-08-09T08:12:55.510Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754064340592.json (01/08/2025)
[2025-08-09T08:12:55.511Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754060740618.json (01/08/2025)
[2025-08-09T08:12:55.513Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754057140606.json (01/08/2025)
[2025-08-09T08:12:55.515Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754053540930.json (01/08/2025)
[2025-08-09T08:12:55.517Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754049940807.json (01/08/2025)
[2025-08-09T08:12:55.518Z] CLEANUP:   🗑️  Verwijderd: members_backup_1754046340719.json (01/08/2025)
